authors,hrefs
"Qian, Yiming and Gong, Minglun and Yang, Yee-Hong",content_cvpr_2017/papers/Qian_Stereo-Based_3D_Reconstruction_CVPR_2017_paper.pdf
"Su, Shuochen and Delbracio, Mauricio and Wang, Jue and Sapiro, Guillermo and Heidrich, Wolfgang and Wang, Oliver",content_cvpr_2017/papers/Su_Deep_Video_Deblurring_CVPR_2017_paper.pdf
"Xu, Jia and Ranftl, Rene and Koltun, Vladlen",content_cvpr_2017/papers/Xu_Accurate_Optical_Flow_CVPR_2017_paper.pdf
"Yan, Yan and Xu, Chenliang and Cai, Dawen and Corso, Jason J.",content_cvpr_2017/papers/Yan_Weakly_Supervised_Actor-Action_CVPR_2017_paper.pdf
"Zamir, Amir R. and Wu, Te-Lin and Sun, Lin and Shen, William B. and Shi, Bertram E. and Malik, Jitendra and Savarese, Silvio",content_cvpr_2017/papers/Zamir_Feedback_Networks_CVPR_2017_paper.pdf
"Zhong, Zhun and Zheng, Liang and Cao, Donglin and Li, Shaozi",content_cvpr_2017/papers/Zhong_Re-Ranking_Person_Re-Identification_CVPR_2017_paper.pdf
"Cao, Yue and Long, Mingsheng and Wang, Jianmin and Liu, Shichen",content_cvpr_2017/papers/Cao_Deep_Visual-Semantic_Quantization_CVPR_2017_paper.pdf
"Li, Yao and Lin, Guosheng and Zhuang, Bohan and Liu, Lingqiao and Shen, Chunhua and van den Hengel, Anton",content_cvpr_2017/papers/Li_Sequential_Person_Recognition_CVPR_2017_paper.pdf
"Li, Yikang and Ouyang, Wanli and Wang, Xiaogang and Tang, Xiao'ou",content_cvpr_2017/papers/Li_ViP-CNN_Visual_Phrase_CVPR_2017_paper.pdf
"Yang, Wenhan and Tan, Robby T. and Feng, Jiashi and Liu, Jiaying and Guo, Zongming and Yan, Shuicheng",content_cvpr_2017/papers/Yang_Deep_Joint_Rain_CVPR_2017_paper.pdf
